Day	Experiment	Variant	Users	Buy	winner_variant
2021-08-01 13	 frontend/assetsCdnDomainMLU	DEFAULT	12	0.0	DEFAULT
2021-08-01 13	 mclics/ads-adsearch-boost-incremental-desktop-mla	3809	5	0.0	3809
2021-08-01 13	 mclics/search-list-algorithms	5528	3	0.0	5528
2021-08-01 13	 mclics/search-pads-none-desktop-mla	3478	5	0.0	3478
2021-08-01 13	 mclics/show-pads-global	5176	7	0.0	5176
2021-08-01 13	 mclics/show-pads-search-list	5146	5	0.0	5146
2021-08-01 13	 pdp/viewItemPageMigrationDesktopReviewsNoTabs	4856	5	0.0	None
2021-08-01 13	 pdp/viewItemPageMigrationReturns	5208	5	0.0	None
2021-08-01 13	 qadb/sa-on-vip	6695	1	0.0	6695
2021-08-01 13	 search/back-filters	5059	11	0.0	5059
2021-08-01 13	 search/best-seller-aa-testing-fail-fast-edition	4514	5	0.0	None
2021-08-01 13	 search/best-seller-aa-testing-fail-fast-edition	4515	2	0.0	None
2021-08-01 13	 search/best-seller-fail-fast-edition-MLA	4916	13	1.0	4916
2021-08-01 13	 search/remove-ecn-tag	4954	8	0.0	4954
2021-08-01 13	 search/tendency-landing-enabled-MLA	6980	1	0.0	6980
2021-08-01 13	 search/ungroup-products	3273	6	0.0	3273
2021-08-01 13	 searchbackend/cbt-antiboost	6333	11	0.0	6333
2021-08-01 13	 searchbackend/item-reputation	3824	13	0.0	3824
2021-08-01 13	 searchbackend/recommended-products	6157	1	0.0	None
2021-08-01 13	 searchbackend/recommended-products	6158	3	0.0	None
2021-08-01 13	 searchbackend/seller-reputation-change	4552	3	0.0	4553
2021-08-01 13	 searchbackend/seller-reputation-change	4553	6	0.0	4553
2021-08-01 13	 vip/carousel-v2p-above-the-fold	6786	2	0.0	None
2021-08-01 13	 vip/carousel-v2p-above-the-fold	6787	4	0.0	None
2021-08-01 13	 vip/seller-with-tooltip	4692	8	0.0	4692
2021-08-01 13	 vip/shippingCalculatorMigrationModalExperiment	6551	7	0.0	None
2021-08-01 13	 vip/showV2V3BoxMessages	6430	6	0.0	None
2021-08-01 13	{search/remove-ecn-tag	4954	11	0.0	None
2021-08-01 13	{searchbackend/recommended-products	6157	6	0.0	None
2021-08-01 13	{searchbackend/recommended-products	6158	6	0.0	None
2021-08-01 13	{vip/showV2V3BoxMessages	6430	4	0.0	6430
2021-08-01 14	 buyingflow/address_hub	3574	1	0.0	3574
2021-08-01 14	 cookiesConsentBanner	DEFAULT	56	0.0	DEFAULT
2021-08-01 14	 filters/sort-by-ranking	6971	9	0.0	None
2021-08-01 14	 filters/sort-by-ranking	6972	11	0.0	None
2021-08-01 14	 filters/sort-by-ranking	7057	14	0.0	None
2021-08-01 14	 frontend/assetsCdnDomainMLA	DEFAULT	26	0.0	DEFAULT
2021-08-01 14	 frontend/assetsCdnDomainMLU	DEFAULT	25	2.0	DEFAULT
2021-08-01 14	 mclics/ads-adsearch-boost-incremental-desktop-mla	3809	16	0.0	3809
2021-08-01 14	 mclics/search-list-algorithms	5528	16	0.0	5528
2021-08-01 14	 mclics/search-pads-none-desktop-mla	3478	19	0.0	3478
2021-08-01 14	 mclics/show-pads-global	5175	1	0.0	5176
2021-08-01 14	 mclics/show-pads-global	5176	18	0.0	5176
2021-08-01 14	 mclics/show-pads-search-list	5146	19	0.0	5146
2021-08-01 14	 pdp/viewItemPageMigrationDesktopReviewsNoTabs	4856	8	0.0	None
2021-08-01 14	 pdp/viewItemPageMigrationReturns	5208	11	0.0	None
2021-08-01 14	 qadb/sa-on-vip	6695	1	0.0	6695
2021-08-01 14	 qadb/sa-on-vip	6696	1	0.0	6695
2021-08-01 14	 search/back-filters	5059	30	1.0	5059
2021-08-01 14	 search/best-seller-aa-testing-fail-fast-edition	4514	11	0.0	None
2021-08-01 14	 search/best-seller-aa-testing-fail-fast-edition	4515	5	0.0	None
2021-08-01 14	 search/best-seller-fail-fast-edition-MLA	4916	14	0.0	4916
2021-08-01 14	 search/remove-ecn-tag	4954	18	0.0	4954
2021-08-01 14	 search/tendency-landing-enabled-MLA	6980	5	0.0	6980
2021-08-01 14	 search/ungroup-products	3273	10	0.0	3273
2021-08-01 14	 searchbackend/cbt-antiboost	6333	33	0.0	6333
2021-08-01 14	 searchbackend/item-reputation	3824	25	1.0	3824
2021-08-01 14	 searchbackend/official-store-orders-boost	4314	1	0.0	4314
2021-08-01 14	 searchbackend/recommended-products	6157	5	0.0	None
2021-08-01 14	 searchbackend/recommended-products	6158	9	0.0	None
2021-08-01 14	 searchbackend/seller-reputation-change	4552	11	0.0	4553
2021-08-01 14	 searchbackend/seller-reputation-change	4553	26	1.0	4553
2021-08-01 14	 vip/carousel-v2p-above-the-fold	6786	4	0.0	None
2021-08-01 14	 vip/carousel-v2p-above-the-fold	6787	9	0.0	None
2021-08-01 14	 vip/seller-with-tooltip	4692	17	0.0	4692
2021-08-01 14	 vip/shippingCalculatorMigrationModalExperiment	6551	20	0.0	None
2021-08-01 14	 vip/showV2V3BoxMessages	6430	18	0.0	None
2021-08-01 14	{buyingflow/user-track	6796	1	0.0	6796
2021-08-01 14	{search/remove-ecn-tag	4954	31	0.0	None
2021-08-01 14	{search/results-target-web-motors	7328	1	0.0	None
2021-08-01 14	{searchbackend/recommended-products	6157	7	0.0	None
2021-08-01 14	{searchbackend/recommended-products	6158	10	0.0	None
2021-08-01 14	{vip/showV2V3BoxMessages	6430	7	0.0	6430
2021-08-01 15	 buyingflow/escWebMLA	2874	1	0.0	2874
2021-08-01 15	 cookiesConsentBanner	DEFAULT	23	0.0	DEFAULT
2021-08-01 15	 filters/sort-by-ranking	6971	3	0.0	None
2021-08-01 15	 filters/sort-by-ranking	6972	8	1.0	None
2021-08-01 15	 filters/sort-by-ranking	7057	4	0.0	None
2021-08-01 15	 frontend/assetsCdnDomainMLA	DEFAULT	21	1.0	DEFAULT
2021-08-01 15	 frontend/assetsCdnDomainMLU	DEFAULT	19	0.0	DEFAULT
2021-08-01 15	 mclics/ads-adsearch-boost-incremental-desktop-mla	3809	7	0.0	3809
2021-08-01 15	 mclics/search-list-algorithms	5528	5	0.0	5528
2021-08-01 15	 mclics/search-pads-none-desktop-mla	3478	9	0.0	3478
2021-08-01 15	 mclics/show-pads-global	5176	13	0.0	5176
2021-08-01 15	 mclics/show-pads-search-list	5146	9	0.0	5146
2021-08-01 15	 pdp/cpgShowOnlyAddToCart	6690	1	1.0	6690
2021-08-01 15	 pdp/viewItemPageMigrationDesktopReviewsNoTabs	4856	6	0.0	None
2021-08-01 15	 pdp/viewItemPageMigrationReturns	5208	5	0.0	None
2021-08-01 15	 search/back-filters	5059	17	0.0	5059
2021-08-01 15	 search/best-seller-aa-testing-fail-fast-edition	4514	5	0.0	None
2021-08-01 15	 search/best-seller-aa-testing-fail-fast-edition	4515	4	0.0	None
2021-08-01 15	 search/best-seller-fail-fast-edition-MLA	4916	9	0.0	4916
2021-08-01 15	 search/checkOnBehavior	349	1	0.0	None
2021-08-01 15	 search/remove-ecn-tag	4954	11	0.0	4954
2021-08-01 15	 search/tendency-landing-enabled-MLA	6980	4	0.0	6980
2021-08-01 15	 search/ungroup-products	3273	8	1.0	3273
2021-08-01 15	 searchbackend/cbt-antiboost	6333	16	0.0	6333
2021-08-01 15	 searchbackend/item-reputation	3824	15	0.0	3824
2021-08-01 15	 searchbackend/recommended-products	6157	1	0.0	None
2021-08-01 15	 searchbackend/recommended-products	6158	3	0.0	None
2021-08-01 15	 searchbackend/seller-reputation-change	4552	4	0.0	4553
2021-08-01 15	 searchbackend/seller-reputation-change	4553	11	0.0	4553
2021-08-01 15	 vip/carousel-v2p-above-the-fold	6786	4	0.0	None
2021-08-01 15	 vip/carousel-v2p-above-the-fold	6787	5	0.0	None
2021-08-01 15	 vip/seller-with-tooltip	4692	13	1.0	4692
2021-08-01 15	 vip/shippingCalculatorMigrationModalExperiment	6551	9	0.0	None
2021-08-01 15	 vip/showV2V3BoxMessages	6430	13	0.0	None
2021-08-01 15	{buyingflow/user-track	6796	1	0.0	6796
2021-08-01 15	{search/remove-ecn-tag	4954	14	1.0	None
2021-08-01 15	{search/results-target-web-motors	7328	3	0.0	None
2021-08-01 15	{searchbackend/recommended-products	6157	6	0.0	None
2021-08-01 15	{searchbackend/recommended-products	6158	9	0.0	None
2021-08-01 15	{vip/showV2V3BoxMessages	6430	4	0.0	6430
2021-08-01 16	 buyingflow/address_hub	3574	2	0.0	3574
2021-08-01 16	 buyingflow/escWebMLA	2874	1	0.0	2874
2021-08-01 16	 cookiesConsentBanner	DEFAULT	115	2.0	DEFAULT
2021-08-01 16	 filters/sort-by-ranking	6971	28	0.0	None
2021-08-01 16	 filters/sort-by-ranking	6972	26	0.0	None
2021-08-01 16	 filters/sort-by-ranking	7057	31	0.0	None
2021-08-01 16	 frontend/assetsCdnDomainMLA	DEFAULT	82	1.0	DEFAULT
2021-08-01 16	 frontend/assetsCdnDomainMLU	DEFAULT	83	0.0	DEFAULT
2021-08-01 16	 mclics/ads-adsearch-boost-incremental-desktop-mla	3809	36	2.0	3809
2021-08-01 16	 mclics/search-list-algorithms	5528	32	0.0	5528
2021-08-01 16	 mclics/search-pads-none-desktop-mla	3478	41	0.0	3478
2021-08-01 16	 mclics/show-pads-global	5175	1	0.0	5176
2021-08-01 16	 mclics/show-pads-global	5176	36	0.0	5176
2021-08-01 16	 mclics/show-pads-search-list	5146	36	0.0	5146
2021-08-01 16	 mshops/HideTransitionModal	DEFAULT	1	0.0	None
2021-08-01 16	 pdp/viewItemPageMigrationDesktopReviewsNoTabs	4856	27	0.0	None
2021-08-01 16	 pdp/viewItemPageMigrationReturns	5208	40	0.0	None
2021-08-01 16	 pdp/viewItemPageMigrationReturns	DEFAULT	1	0.0	None
2021-08-01 16	 qadb/sa-on-vip	6695	6	0.0	6695
2021-08-01 16	 qadb/sa-on-vip	6696	3	0.0	6695
2021-08-01 16	 search/back-filters	5059	80	1.0	5059
2021-08-01 16	 search/best-seller-aa-testing-fail-fast-edition	4514	22	1.0	None
2021-08-01 16	 search/best-seller-aa-testing-fail-fast-edition	4515	17	0.0	None
2021-08-01 16	 search/best-seller-fail-fast-edition-MLA	4916	33	1.0	4916
2021-08-01 16	 search/checkOnBehavior	349	3	0.0	None
2021-08-01 16	 search/enable-map-layout	5929	3	0.0	5929
2021-08-01 16	 search/remove-ecn-tag	4954	53	1.0	4954
2021-08-01 16	 search/tendency-landing-enabled-MLA	6980	10	0.0	6980
2021-08-01 16	 search/ungroup-products	3273	28	0.0	3273
2021-08-01 16	 search/web-layout-default-res	6807	3	0.0	None
2021-08-01 16	 searchbackend/cbt-antiboost	6333	65	0.0	6333
2021-08-01 16	 searchbackend/item-reputation	3824	84	0.0	3824
2021-08-01 16	 searchbackend/official-store-orders-boost	4313	2	0.0	4314
2021-08-01 16	 searchbackend/recommended-products	6157	17	0.0	None
2021-08-01 16	 searchbackend/recommended-products	6158	24	0.0	None
2021-08-01 16	 searchbackend/seller-reputation-change	4552	16	0.0	4553
2021-08-01 16	 searchbackend/seller-reputation-change	4553	68	1.0	4553
2021-08-01 16	 splinter/official-stores	4926	1	0.0	4926
2021-08-01 16	 vip/carousel-v2p-above-the-fold	6786	25	0.0	None
2021-08-01 16	 vip/carousel-v2p-above-the-fold	6787	25	0.0	None
2021-08-01 16	 vip/carousel-v2p-above-the-fold	DEFAULT	1	0.0	None
2021-08-01 16	 vip/seller-with-tooltip	4692	59	0.0	4692
2021-08-01 16	 vip/shippingCalculatorMigrationModalExperiment	6551	48	0.0	None
2021-08-01 16	 vip/shippingCalculatorMigrationModalExperiment	DEFAULT	1	0.0	None
2021-08-01 16	 vip/showV2V3BoxMessages	6430	47	0.0	None
2021-08-01 16	 vip/showV2V3BoxMessages	DEFAULT	1	0.0	None
2021-08-01 16	{buyingflow/user-track	6796	2	0.0	6796
2021-08-01 16	{cookiesConsentBanner	DEFAULT	6	1.0	DEFAULT
2021-08-01 16	{pdp/viewItemPageMigrationDesktopRES	5941	1	0.0	5941
2021-08-01 16	{qadb/sa-on-vip	6695	1	0.0	None
2021-08-01 16	{qadb/sa-on-vip	6696	1	0.0	None
2021-08-01 16	{search/remove-ecn-tag	4954	64	0.0	None
2021-08-01 16	{search/remove-ecn-tag	DEFAULT	1	0.0	None
2021-08-01 16	{search/results-target-web-motors	7327	2	0.0	None
2021-08-01 16	{search/results-target-web-motors	7328	8	0.0	None
2021-08-01 16	{searchbackend/recommended-products	6157	25	0.0	None
2021-08-01 16	{searchbackend/recommended-products	6158	28	0.0	None
2021-08-01 16	{vip/showV2V3BoxMessages	6430	15	0.0	6430
2021-08-01 17	 buyingflow/address_hub	3574	5	0.0	3574
2021-08-01 17	 buyingflow/escWebMLA	2874	3	0.0	2874
2021-08-01 17	 cookiesConsentBanner	DEFAULT	185	0.0	DEFAULT
2021-08-01 17	 filters/sort-by-ranking	6971	62	1.0	None
2021-08-01 17	 filters/sort-by-ranking	6972	50	0.0	None
2021-08-01 17	 filters/sort-by-ranking	7057	47	1.0	None
2021-08-01 17	 frontend/assetsCdnDomainMLA	DEFAULT	134	1.0	DEFAULT
2021-08-01 17	 frontend/assetsCdnDomainMLU	DEFAULT	126	1.0	DEFAULT
2021-08-01 17	 mclics/ads-adsearch-boost-incremental-desktop-mla	3809	67	0.0	3809
2021-08-01 17	 mclics/search-list-algorithms	5528	62	0.0	5528
2021-08-01 17	 mclics/search-pads-none-desktop-mla	3478	61	0.0	3478
2021-08-01 17	 mclics/show-pads-global	5175	1	0.0	5176
2021-08-01 17	 mclics/show-pads-global	5176	66	0.0	5176
2021-08-01 17	 mclics/show-pads-search-list	5145	1	0.0	5146
2021-08-01 17	 mclics/show-pads-search-list	5146	60	0.0	5146
2021-08-01 17	 pdp/viewItemPageMigrationDesktopHirableSRV	7174	1	0.0	7174
2021-08-01 17	 pdp/viewItemPageMigrationDesktopReviewsNoTabs	4856	41	0.0	None
2021-08-01 17	 pdp/viewItemPageMigrationReturns	5208	62	0.0	None
2021-08-01 17	 qadb/sa-on-vip	6695	6	0.0	6695
2021-08-01 17	 qadb/sa-on-vip	6696	8	0.0	6695
2021-08-01 17	 search/back-filters	5059	136	0.0	5059
2021-08-01 17	 search/best-seller-aa-testing-fail-fast-edition	4514	44	0.0	None
2021-08-01 17	 search/best-seller-aa-testing-fail-fast-edition	4515	28	1.0	None
2021-08-01 17	 search/best-seller-fail-fast-edition-MLA	4916	74	0.0	4916
2021-08-01 17	 search/checkOnBehavior	348	1	0.0	None
2021-08-01 17	 search/checkOnBehavior	349	4	0.0	None
2021-08-01 17	 search/enable-map-layout	5929	2	0.0	5929
2021-08-01 17	 search/remove-ecn-tag	4954	74	1.0	4954
2021-08-01 17	 search/tendency-landing-enabled-MLA	6980	16	0.0	6980
2021-08-01 17	 search/ungroup-products	3273	43	0.0	3273
2021-08-01 17	 search/web-layout-default-res	6807	2	0.0	None
2021-08-01 17	 searchbackend/cbt-antiboost	6333	117	3.0	6333
2021-08-01 17	 searchbackend/item-reputation	3824	126	3.0	3824
2021-08-01 17	 searchbackend/official-store-orders-boost	4313	4	0.0	4314
2021-08-01 17	 searchbackend/official-store-orders-boost	4314	4	0.0	4314
2021-08-01 17	 searchbackend/recommended-products	6157	39	0.0	None
2021-08-01 17	 searchbackend/recommended-products	6158	38	0.0	None
2021-08-01 17	 searchbackend/seller-reputation-change	4552	21	1.0	4553
2021-08-01 17	 searchbackend/seller-reputation-change	4553	120	0.0	4553
2021-08-01 17	 vip/carousel-v2p-above-the-fold	6786	39	0.0	None
2021-08-01 17	 vip/carousel-v2p-above-the-fold	6787	42	0.0	None
2021-08-01 17	 vip/seller-with-tooltip	4692	71	1.0	4692
2021-08-01 17	 vip/shippingCalculatorMigrationModalExperiment	6551	76	2.0	None
2021-08-01 17	 vip/showV2V3BoxMessages	6430	73	0.0	None
2021-08-01 17	{buyingflow/user-track	6796	10	1.0	6796
2021-08-01 17	{cookiesConsentBanner	DEFAULT	14	0.0	DEFAULT
2021-08-01 17	{pdp/viewItemPageMigrationDesktopRES	5941	1	0.0	5941
2021-08-01 17	{qadb/sa-on-vip	6695	3	0.0	None
2021-08-01 17	{search/remove-ecn-tag	4954	101	5.0	None
2021-08-01 17	{search/results-target-web-motors	7327	5	0.0	None
2021-08-01 17	{search/results-target-web-motors	7328	14	0.0	None
2021-08-01 17	{searchbackend/recommended-products	6157	46	0.0	None
2021-08-01 17	{searchbackend/recommended-products	6158	40	0.0	None
2021-08-01 17	{vip/showV2V3BoxMessages	6430	14	1.0	6430
2021-08-01 18	 cookiesConsentBanner	DEFAULT	43	0.0	DEFAULT
2021-08-01 18	 filters/sort-by-ranking	6971	9	1.0	None
2021-08-01 18	 filters/sort-by-ranking	6972	8	0.0	None
2021-08-01 18	 filters/sort-by-ranking	7057	11	0.0	None
2021-08-01 18	 frontend/assetsCdnDomainMLA	DEFAULT	35	1.0	DEFAULT
2021-08-01 18	 frontend/assetsCdnDomainMLU	DEFAULT	35	1.0	DEFAULT
2021-08-01 18	 mclics/ads-adsearch-boost-incremental-desktop-mla	3809	16	0.0	3809
2021-08-01 18	 mclics/search-list-algorithms	5528	12	0.0	5528
2021-08-01 18	 mclics/search-pads-none-desktop-mla	3478	14	0.0	3478
2021-08-01 18	 mclics/show-pads-global	5175	1	0.0	5176
2021-08-01 18	 mclics/show-pads-global	5176	13	0.0	5176
2021-08-01 18	 mclics/show-pads-search-list	5146	13	0.0	5146
2021-08-01 18	 pdp/viewItemPageMigrationDesktopReviewsNoTabs	4856	8	0.0	None
2021-08-01 18	 pdp/viewItemPageMigrationReturns	5208	17	0.0	None
2021-08-01 18	 qadb/sa-on-vip	6696	1	0.0	6695
2021-08-01 18	 search/back-filters	5059	29	0.0	5059
2021-08-01 18	 search/best-seller-aa-testing-fail-fast-edition	4514	3	0.0	None
2021-08-01 18	 search/best-seller-aa-testing-fail-fast-edition	4515	9	0.0	None
2021-08-01 18	 search/best-seller-fail-fast-edition-MLA	4916	13	0.0	4916
2021-08-01 18	 search/remove-ecn-tag	4954	13	0.0	4954
2021-08-01 18	 search/tendency-landing-enabled-MLA	6980	2	0.0	6980
2021-08-01 18	 search/ungroup-products	3273	15	0.0	3273
2021-08-01 18	 searchbackend/cbt-antiboost	6333	25	0.0	6333
2021-08-01 18	 searchbackend/item-reputation	3824	34	0.0	3824
2021-08-01 18	 searchbackend/official-store-orders-boost	4314	2	0.0	4314
2021-08-01 18	 searchbackend/recommended-products	6157	6	0.0	None
2021-08-01 18	 searchbackend/recommended-products	6158	8	0.0	None
2021-08-01 18	 searchbackend/seller-reputation-change	4552	7	0.0	4553
2021-08-01 18	 searchbackend/seller-reputation-change	4553	23	0.0	4553
2021-08-01 18	 vip/carousel-v2p-above-the-fold	6786	8	0.0	None
2021-08-01 18	 vip/carousel-v2p-above-the-fold	6787	8	0.0	None
2021-08-01 18	 vip/seller-with-tooltip	4692	17	1.0	4692
2021-08-01 18	 vip/shippingCalculatorMigrationModalExperiment	6551	21	0.0	None
2021-08-01 18	 vip/showV2V3BoxMessages	6430	17	0.0	None
2021-08-01 18	{buyingflow/user-track	6796	1	0.0	6796
2021-08-01 18	{pdp/viewItemPageMigrationDesktopRES	5941	1	0.0	5941
2021-08-01 18	{qadb/sa-on-vip	6696	1	0.0	None
2021-08-01 18	{search/remove-ecn-tag	4954	29	1.0	None
2021-08-01 18	{search/results-target-web-motors	7328	1	0.0	None
2021-08-01 18	{searchbackend/recommended-products	6157	9	0.0	None
2021-08-01 18	{searchbackend/recommended-products	6158	12	0.0	None
2021-08-01 18	{vip/showV2V3BoxMessages	6430	5	0.0	6430
2021-08-01 19	 buyingflow/address_hub	3574	11	0.0	3574
2021-08-01 19	 buyingflow/escWebMLA	2874	6	0.0	2874
2021-08-01 19	 cookiesConsentBanner	DEFAULT	286	1.0	DEFAULT
2021-08-01 19	 filters/sort-by-ranking	6971	105	1.0	None
2021-08-01 19	 filters/sort-by-ranking	6972	92	0.0	None
2021-08-01 19	 filters/sort-by-ranking	7057	96	1.0	None
2021-08-01 19	 frontend/assetsCdnDomainMLA	DEFAULT	229	1.0	DEFAULT
2021-08-01 19	 frontend/assetsCdnDomainMLU	DEFAULT	230	1.0	DEFAULT
2021-08-01 19	 mclics/ads-adsearch-boost-incremental-desktop-mla	3809	134	1.0	3809
2021-08-01 19	 mclics/search-list-algorithms	5528	125	1.0	5528
2021-08-01 19	 mclics/search-pads-none-desktop-mla	3478	119	0.0	3478
2021-08-01 19	 mclics/search-pads-none-desktop-mla	3479	3	0.0	3478
2021-08-01 19	 mclics/show-pads-global	5175	6	0.0	5176
2021-08-01 19	 mclics/show-pads-global	5176	112	2.0	5176
2021-08-01 19	 mclics/show-pads-search-list	5145	3	0.0	5146
2021-08-01 19	 mclics/show-pads-search-list	5146	121	1.0	5146
2021-08-01 19	 mshops/HideTransitionModal	6993	1	0.0	None
2021-08-01 19	 pdp/viewItemPageMigrationDesktopHirableSRV	7174	3	0.0	7174
2021-08-01 19	 pdp/viewItemPageMigrationDesktopReviewsNoTabs	4856	80	0.0	None
2021-08-01 19	 pdp/viewItemPageMigrationReturns	5208	112	2.0	None
2021-08-01 19	 qadb/sa-on-vip	6695	11	0.0	6695
2021-08-01 19	 qadb/sa-on-vip	6696	10	0.0	6695
2021-08-01 19	 search/back-filters	5059	230	3.0	5059
2021-08-01 19	 search/best-seller-aa-testing-fail-fast-edition	4514	92	1.0	None
2021-08-01 19	 search/best-seller-aa-testing-fail-fast-edition	4515	59	0.0	None
2021-08-01 19	 search/best-seller-fail-fast-edition-MLA	4916	128	0.0	4916
2021-08-01 19	 search/checkOnBehavior	348	2	0.0	None
2021-08-01 19	 search/checkOnBehavior	349	5	0.0	None
2021-08-01 19	 search/enable-map-layout	5929	8	0.0	5929
2021-08-01 19	 search/remove-ecn-tag	4954	135	1.0	4954
2021-08-01 19	 search/tendency-landing-enabled-MLA	6980	39	0.0	6980
2021-08-01 19	 search/ungroup-products	3273	77	1.0	3273
2021-08-01 19	 search/web-layout-default-res	6806	7	0.0	None
2021-08-01 19	 search/web-layout-default-res	6807	1	0.0	None
2021-08-01 19	 searchbackend/cbt-antiboost	6333	200	2.0	6333
2021-08-01 19	 searchbackend/item-reputation	3824	226	2.0	3824
2021-08-01 19	 searchbackend/official-store-orders-boost	4313	6	0.0	4314
2021-08-01 19	 searchbackend/official-store-orders-boost	4314	3	0.0	4314
2021-08-01 19	 searchbackend/recommended-products	6157	72	0.0	None
2021-08-01 19	 searchbackend/recommended-products	6158	59	0.0	None
2021-08-01 19	 searchbackend/seller-reputation-change	4552	54	0.0	4553
2021-08-01 19	 searchbackend/seller-reputation-change	4553	188	4.0	4553
2021-08-01 19	 vip/carousel-v2p-above-the-fold	6786	68	0.0	None
2021-08-01 19	 vip/carousel-v2p-above-the-fold	6787	78	1.0	None
2021-08-01 19	 vip/seller-with-tooltip	4692	160	1.0	4692
2021-08-01 19	 vip/shippingCalculatorMigrationModalExperiment	6551	134	0.0	None
2021-08-01 19	 vip/showV2V3BoxMessages	6430	118	0.0	None
2021-08-01 19	{buyingflow/user-track	6796	14	0.0	6796
2021-08-01 19	{cookiesConsentBanner	DEFAULT	18	0.0	DEFAULT
2021-08-01 19	{pdp/viewItemPageMigrationDesktopRES	5941	3	0.0	5941
2021-08-01 19	{qadb/sa-on-vip	6695	3	0.0	None
2021-08-01 19	{qadb/sa-on-vip	6696	5	0.0	None
2021-08-01 19	{search/remove-ecn-tag	4954	178	4.0	None
